county,zcta5,cntyname,zipname,Final Zip
1001,36003,Autauga AL,"Autaugaville, AL",36003
1001,36006,Autauga AL,"Billingsley, AL",36006
1001,36022,Autauga AL,"Deatsville, AL",36022
1001,36051,Autauga AL,"Marbury, AL",36051
1001,36066,Autauga AL,"Prattville, AL",36066
1001,36067,Autauga AL,"Prattville, AL",36067
1001,36091,Autauga AL,"Verbena, AL",36091
1001,36703,Autauga AL,"Selma, AL",36703
1001,36749,Autauga AL,"Jones, AL",36749
1001,36758,Autauga AL,"Plantersville, AL",36758
1003,36480,Baldwin AL,"Uriah, AL",36480
1003,36502,Baldwin AL,"Atmore, AL",36502
1003,36507,Baldwin AL,"Bay Minette, AL",36507
1003,36511,Baldwin AL,"Bon Secour, AL",36511
1003,36526,Baldwin AL,"Daphne, AL",36526
1003,36527,Baldwin AL,"Spanish Fort, AL",36527
1003,36530,Baldwin AL,"Elberta, AL",36530
1003,36532,Baldwin AL,"Fairhope, AL",36532
1003,36535,Baldwin AL,"Foley, AL",36535
1003,36542,Baldwin AL,"Gulf Shores, AL",36542
1003,36549,Baldwin AL,"Lillian, AL",36549
1003,36550,Baldwin AL,"Little River, AL (PO Boxes)",36550
1003,36551,Baldwin AL,"Loxley, AL",36551
1003,36555,Baldwin AL,"Magnolia Springs, AL",36555
1003,36559,Baldwin AL,"Montrose, AL (PO Boxes)",36559
1003,36561,Baldwin AL,"Orange Beach, AL",36561
1003,36562,Baldwin AL,"Perdido, AL",36562
1003,36564,Baldwin AL,"Point Clear, AL",36564
1003,36567,Baldwin AL,"Robertsdale, AL",36567
1003,36574,Baldwin AL,"Seminole, AL",36574
1003,36576,Baldwin AL,"Silverhill, AL",36576
1003,36578,Baldwin AL,"Stapleton, AL (PO Boxes)",36578
1003,36579,Baldwin AL,"Stockton, AL",36579
1003,36580,Baldwin AL,"Summerdale, AL",36580
1003,99999,Baldwin AL,99999,99999
1005,36005,Barbour AL,"Banks, AL",36005
1005,36016,Barbour AL,"Clayton, AL",36016
1005,36017,Barbour AL,"Clio, AL",36017
1005,36027,Barbour AL,"Eufaula, AL",36027
1005,36048,Barbour AL,"Louisville, AL",36048
1005,36053,Barbour AL,"Midway, AL",36053
1005,36311,Barbour AL,"Ariton, AL",36311
1005,36317,Barbour AL,"Clopton, AL",36317
1005,36374,Barbour AL,"Skipperville, AL",36374
1007,35034,Bibb AL,"Brent, AL",35034
1007,35035,Bibb AL,"Brierfield, AL",35035
1007,35042,Bibb AL,"Centreville, AL",35042
1007,35074,Bibb AL,"Green Pond, AL (PO Boxes)",35074
1007,35111,Bibb AL,"Mc Calla, AL",35111
1007,35115,Bibb AL,"Montevallo, AL",35115
1007,35184,Bibb AL,"West Blocton, AL",35184
1007,35188,Bibb AL,"Woodstock, AL",35188
1007,35456,Bibb AL,"Duncanville, AL",35456
1007,36750,Bibb AL,"Maplesville, AL",36750
1007,36792,Bibb AL,"Randolph, AL",36792
1007,36793,Bibb AL,"Lawley, AL",36793
1009,35013,Blount AL,"Allgood, AL",35013
1009,35016,Blount AL,"Arab, AL",35016
1009,35031,Blount AL,"Blountsville, AL",35031
1009,35049,Blount AL,"Cleveland, AL",35049
1009,35063,Blount AL,"Empire, AL",35063
1009,35079,Blount AL,"Hayden, AL",35079
1009,35097,Blount AL,"Locust Fork, AL",35097
1009,35121,Blount AL,"Oneonta, AL",35121
1009,35126,Blount AL,"Pinson, AL",35126
1009,35133,Blount AL,"Remlap, AL",35133
1009,35146,Blount AL,"Springville, AL",35146
1009,35172,Blount AL,"Trafford, AL",35172
1009,35180,Blount AL,"Warrior, AL",35180
1009,35952,Blount AL,"Altoona, AL",35952
1009,35957,Blount AL,"Boaz, AL",35957
1009,35976,Blount AL,"Guntersville, AL",35976
1009,35980,Blount AL,"Horton, AL",35980
1011,36005,Bullock AL,"Banks, AL",36005
1011,36029,Bullock AL,"Fitzpatrick, AL",36029
1011,36052,Bullock AL,"Mathews, AL (PO Boxes)",36052
1011,36053,Bullock AL,"Midway, AL",36053
1011,36081,Bullock AL,"Troy, AL",36081
1011,36089,Bullock AL,"Union Springs, AL",36089
1011,36860,Bullock AL,"Hurtsboro, AL",36860
1013,36030,Butler AL,"Forest Home, AL",36030
1013,36032,Butler AL,"Fort Deposit, AL",36032
1013,36033,Butler AL,"Georgiana, AL",36033
1013,36037,Butler AL,"Greenville, AL",36037
1013,36042,Butler AL,"Honoraville, AL",36042
1013,36071,Butler AL,"Rutledge, AL",36071
1013,36456,Butler AL,"Mc Kenzie, AL",36456
1013,36474,Butler AL,"Red Level, AL",36474
1015,35096,Calhoun AL,"Lincoln, AL",35096
1015,35905,Calhoun AL,"Glencoe, AL",35905
1015,36201,Calhoun AL,"Anniston, AL",36201
1015,36203,Calhoun AL,"Oxford, AL",36203
1015,36205,Calhoun AL,"Anniston, AL",36205
1015,36206,Calhoun AL,"Saks, AL",36206
1015,36207,Calhoun AL,"Anniston, AL",36207
