statecode,ratingarea,age,premiumrate
AK,Rating Area 1,20,253.94
AK,Rating Area 1,21,432.62
AK,Rating Area 1,22,432.62
AK,Rating Area 1,23,432.62
AK,Rating Area 1,24,432.62
AK,Rating Area 1,25,434.32
AK,Rating Area 1,26,443.02
AK,Rating Area 1,27,453.23
AK,Rating Area 1,28,469.75
AK,Rating Area 1,29,483.36
AK,Rating Area 1,30,490.12
AK,Rating Area 1,31,500.31
AK,Rating Area 1,32,510.50
AK,Rating Area 1,33,516.87
AK,Rating Area 1,34,523.63
AK,Rating Area 1,35,527.04
AK,Rating Area 1,36,530.43
AK,Rating Area 1,37,533.83
AK,Rating Area 1,38,537.21
AK,Rating Area 1,39,544.01
AK,Rating Area 1,40,550.75
AK,Rating Area 1,41,560.57
AK,Rating Area 1,42,569.70
AK,Rating Area 1,43,581.98
AK,Rating Area 1,44,596.74
AK,Rating Area 1,45,613.44
AK,Rating Area 1,46,632.50
AK,Rating Area 1,47,652.01
AK,Rating Area 1,48,669.82
AK,Rating Area 1,49,683.60
AK,Rating Area 1,50,696.23
AK,Rating Area 1,51,706.32
AK,Rating Area 1,52,713.95
AK,Rating Area 1,53,717.95
AK,Rating Area 1,54,720.83
AK,Rating Area 1,55,722.47
AK,Rating Area 1,56,723.33
AK,Rating Area 1,57,723.70
AK,Rating Area 1,58,723.70
AK,Rating Area 1,59,723.70
AK,Rating Area 1,60,723.70
AK,Rating Area 1,61,723.70
AK,Rating Area 1,62,723.70
AK,Rating Area 1,63,723.70
AK,Rating Area 1,64,723.70
AK,Rating Area 1,65,724.41
AK,Rating Area 2,20,263.44
AK,Rating Area 2,21,434.52
AK,Rating Area 2,22,434.52
AK,Rating Area 2,23,434.52
AK,Rating Area 2,24,434.52
AK,Rating Area 2,25,436.23
AK,Rating Area 2,26,444.97
AK,Rating Area 2,27,455.21
AK,Rating Area 2,28,471.82
AK,Rating Area 2,29,485.46
AK,Rating Area 2,30,492.29
AK,Rating Area 2,31,502.51
AK,Rating Area 2,32,512.75
AK,Rating Area 2,33,519.14
AK,Rating Area 2,34,525.95
AK,Rating Area 2,35,529.37
AK,Rating Area 2,36,532.78
AK,Rating Area 2,37,536.18
AK,Rating Area 2,38,539.59
AK,Rating Area 2,39,546.41
AK,Rating Area 2,40,553.17
AK,Rating Area 2,41,563.00
AK,Rating Area 2,42,572.03
AK,Rating Area 2,43,584.08
AK,Rating Area 2,44,598.54
AK,Rating Area 2,45,615.14
AK,Rating Area 2,46,634.18
AK,Rating Area 2,47,653.32
AK,Rating Area 2,48,670.71
AK,Rating Area 2,49,684.48
AK,Rating Area 2,50,697.16
AK,Rating Area 2,51,707.09
AK,Rating Area 2,52,714.19
AK,Rating Area 2,53,717.95
AK,Rating Area 2,54,720.83
AK,Rating Area 2,55,722.47
AK,Rating Area 2,56,723.33
AK,Rating Area 2,57,723.70
AK,Rating Area 2,58,723.70
AK,Rating Area 2,59,723.70
AK,Rating Area 2,60,723.70
AK,Rating Area 2,61,723.70
AK,Rating Area 2,62,723.70
AK,Rating Area 2,63,723.70
AK,Rating Area 2,64,723.70
AK,Rating Area 2,65,724.41
AK,Rating Area 3,20,265.31
AK,Rating Area 3,21,438.22
AK,Rating Area 3,22,438.22
AK,Rating Area 3,23,438.22
AK,Rating Area 3,24,438.22
AK,Rating Area 3,25,439.94
AK,Rating Area 3,26,448.77
AK,Rating Area 3,27,459.12
AK,Rating Area 3,28,475.88
AK,Rating Area 3,29,489.66
AK,Rating Area 3,30,496.54
AK,Rating Area 3,31,506.88
AK,Rating Area 3,32,517.20
AK,Rating Area 3,33,523.66
AK,Rating Area 3,34,530.52
AK,Rating Area 3,35,533.98
AK,Rating Area 3,36,537.41
AK,Rating Area 3,37,540.86
AK,Rating Area 3,38,544.30
AK,Rating Area 3,39,551.18
AK,Rating Area 3,40,558.01
AK,Rating Area 3,41,567.98
AK,Rating Area 3,42,577.23
AK,Rating Area 3,43,589.52
AK,Rating Area 3,44,604.31
AK,Rating Area 3,45,621.08
AK,Rating Area 3,46,640.41
AK,Rating Area 3,47,659.99
AK,Rating Area 3,48,677.74
AK,Rating Area 3,49,691.66
AK,Rating Area 3,50,704.48
AK,Rating Area 3,51,714.68
AK,Rating Area 3,52,722.13
AK,Rating Area 3,53,725.98
AK,Rating Area 3,54,728.90
AK,Rating Area 3,55,730.55
AK,Rating Area 3,56,731.43
AK,Rating Area 3,57,731.80
AK,Rating Area 3,58,731.80
AK,Rating Area 3,59,731.80
AK,Rating Area 3,60,731.80
AK,Rating Area 3,61,731.80
AK,Rating Area 3,62,731.80
AK,Rating Area 3,63,731.80
AK,Rating Area 3,64,731.80
AK,Rating Area 3,65,732.50
AL,Rating Area 1,20,66.45
AL,Rating Area 1,21,158.29
AL,Rating Area 1,22,158.29
AL,Rating Area 1,23,158.29
AL,Rating Area 1,24,158.29
AL,Rating Area 1,25,158.65
AL,Rating Area 1,26,160.73
AL,Rating Area 1,27,162.94
AL,Rating Area 1,28,166.51
AL,Rating Area 1,29,169.44
AL,Rating Area 1,30,170.90
AL,Rating Area 1,31,173.10
AL,Rating Area 1,32,175.29
AL,Rating Area 1,33,176.67
AL,Rating Area 1,34,178.13
AL,Rating Area 1,35,178.86
AL,Rating Area 1,36,179.60
AL,Rating Area 1,37,180.33
AL,Rating Area 1,38,181.06
AL,Rating Area 1,39,182.52
AL,Rating Area 1,40,183.99
AL,Rating Area 1,41,186.19
AL,Rating Area 1,42,188.29
AL,Rating Area 1,43,191.22
AL,Rating Area 1,44,194.88
AL,Rating Area 1,45,199.18
AL,Rating Area 1,46,204.31
AL,Rating Area 1,47,210.07
AL,Rating Area 1,48,216.66
AL,Rating Area 1,49,223.16
AL,Rating Area 1,50,230.49
AL,Rating Area 1,51,237.72
AL,Rating Area 1,52,245.68
AL,Rating Area 1,53,253.73
AL,Rating Area 1,54,262.43
AL,Rating Area 1,55,271.49
AL,Rating Area 1,56,280.92
AL,Rating Area 1,57,289.45
AL,Rating Area 1,58,297.39
AL,Rating Area 1,59,301.28
AL,Rating Area 1,60,309.12
AL,Rating Area 1,61,315.63
AL,Rating Area 1,62,319.42
AL,Rating Area 1,63,323.72
AL,Rating Area 1,64,326.25
AL,Rating Area 1,65,327.03
AL,Rating Area 10,20,68.06
AL,Rating Area 10,21,160.90
AL,Rating Area 10,22,160.90
AL,Rating Area 10,23,160.90
AL,Rating Area 10,24,160.90
AL,Rating Area 10,25,161.27
AL,Rating Area 10,26,163.39
AL,Rating Area 10,27,165.64
AL,Rating Area 10,28,169.29
AL,Rating Area 10,29,172.28
AL,Rating Area 10,30,173.77
AL,Rating Area 10,31,176.02
AL,Rating Area 10,32,178.26
AL,Rating Area 10,33,179.66
AL,Rating Area 10,34,181.16
AL,Rating Area 10,35,181.91
AL,Rating Area 10,36,182.66
AL,Rating Area 10,37,183.40
AL,Rating Area 10,38,184.15
AL,Rating Area 10,39,185.65
AL,Rating Area 10,40,187.14
AL,Rating Area 10,41,189.39
AL,Rating Area 10,42,191.54
AL,Rating Area 10,43,194.53
AL,Rating Area 10,44,198.27
AL,Rating Area 10,45,202.66
AL,Rating Area 10,46,207.89
AL,Rating Area 10,47,213.78
AL,Rating Area 10,48,220.51
AL,Rating Area 10,49,227.15
AL,Rating Area 10,50,234.63
AL,Rating Area 10,51,242.01
AL,Rating Area 10,52,250.15
AL,Rating Area 10,53,258.37
AL,Rating Area 10,54,267.25
AL,Rating Area 10,55,276.50
AL,Rating Area 10,56,285.83
AL,Rating Area 10,57,293.88
AL,Rating Area 10,58,301.89
AL,Rating Area 10,59,305.86
AL,Rating Area 10,60,313.80
AL,Rating Area 10,61,319.90
AL,Rating Area 10,62,323.44
AL,Rating Area 10,63,327.64
AL,Rating Area 10,64,329.96
AL,Rating Area 10,65,330.74
AL,Rating Area 11,20,66.83
AL,Rating Area 11,21,158.67
AL,Rating Area 11,22,158.67
AL,Rating Area 11,23,158.67
AL,Rating Area 11,24,158.67
AL,Rating Area 11,25,159.04
AL,Rating Area 11,26,161.12
AL,Rating Area 11,27,163.32
AL,Rating Area 11,28,166.89
AL,Rating Area 11,29,169.82
AL,Rating Area 11,30,171.28
AL,Rating Area 11,31,173.48
AL,Rating Area 11,32,175.68
AL,Rating Area 11,33,177.05
AL,Rating Area 11,34,178.51
AL,Rating Area 11,35,179.25
AL,Rating Area 11,36,179.98
AL,Rating Area 11,37,180.71
AL,Rating Area 11,38,181.44
AL,Rating Area 11,39,182.91
AL,Rating Area 11,40,184.37
AL,Rating Area 11,41,186.57
AL,Rating Area 11,42,188.67
AL,Rating Area 11,43,191.60
AL,Rating Area 11,44,195.26
AL,Rating Area 11,45,199.57
AL,Rating Area 11,46,204.69
AL,Rating Area 11,47,210.46
AL,Rating Area 11,48,217.05
AL,Rating Area 11,49,223.55
AL,Rating Area 11,50,230.87
AL,Rating Area 11,51,238.10
AL,Rating Area 11,52,246.06
AL,Rating Area 11,53,254.12
AL,Rating Area 11,54,262.81
AL,Rating Area 11,55,271.88
AL,Rating Area 11,56,281.30
AL,Rating Area 11,57,289.84
AL,Rating Area 11,58,297.78
AL,Rating Area 11,59,301.66
AL,Rating Area 11,60,309.50
AL,Rating Area 11,61,316.02
AL,Rating Area 11,62,319.81
AL,Rating Area 11,63,324.11
AL,Rating Area 11,64,326.63
AL,Rating Area 11,65,327.41
AL,Rating Area 12,20,63.22
AL,Rating Area 12,21,151.91
AL,Rating Area 12,22,151.91
AL,Rating Area 12,23,151.91
AL,Rating Area 12,24,151.91
AL,Rating Area 12,25,152.25
AL,Rating Area 12,26,154.19
AL,Rating Area 12,27,156.23
AL,Rating Area 12,28,159.53
AL,Rating Area 12,29,162.24
AL,Rating Area 12,30,163.60
AL,Rating Area 12,31,165.63
AL,Rating Area 12,32,167.66
AL,Rating Area 12,33,168.94
AL,Rating Area 12,34,170.29
AL,Rating Area 12,35,170.97
AL,Rating Area 12,36,171.65
AL,Rating Area 12,37,172.32
AL,Rating Area 12,38,173.00
AL,Rating Area 12,39,174.36
AL,Rating Area 12,40,175.71
AL,Rating Area 12,41,177.75
AL,Rating Area 12,42,179.69
AL,Rating Area 12,43,182.41
AL,Rating Area 12,44,185.79
AL,Rating Area 12,45,189.78
AL,Rating Area 12,46,194.52
AL,Rating Area 12,47,199.86
AL,Rating Area 12,48,205.96
AL,Rating Area 12,49,211.97
AL,Rating Area 12,50,218.75
AL,Rating Area 12,51,225.44
AL,Rating Area 12,52,232.81
AL,Rating Area 12,53,240.26
AL,Rating Area 12,54,248.31
AL,Rating Area 12,55,256.73
AL,Rating Area 12,56,265.45
AL,Rating Area 12,57,274.26
AL,Rating Area 12,58,283.54
AL,Rating Area 12,59,287.75
AL,Rating Area 12,60,295.28
AL,Rating Area 12,61,301.56
AL,Rating Area 12,62,305.68
AL,Rating Area 12,63,310.84
AL,Rating Area 12,64,313.89
AL,Rating Area 12,65,314.67
AL,Rating Area 13,20,65.22
AL,Rating Area 13,21,155.70
AL,Rating Area 13,22,155.70
AL,Rating Area 13,23,155.70
AL,Rating Area 13,24,155.70
AL,Rating Area 13,25,156.05
AL,Rating Area 13,26,158.08
AL,Rating Area 13,27,160.21
AL,Rating Area 13,28,163.66
AL,Rating Area 13,29,166.50
AL,Rating Area 13,30,167.92
AL,Rating Area 13,31,170.04
AL,Rating Area 13,32,172.17
AL,Rating Area 13,33,173.50
AL,Rating Area 13,34,174.92
AL,Rating Area 13,35,175.63
AL,Rating Area 13,36,176.34
AL,Rating Area 13,37,177.04
AL,Rating Area 13,38,177.75
AL,Rating Area 13,39,179.17
AL,Rating Area 13,40,180.59
AL,Rating Area 13,41,182.71
AL,Rating Area 13,42,184.75
AL,Rating Area 13,43,187.59
AL,Rating Area 13,44,191.13
AL,Rating Area 13,45,195.30
AL,Rating Area 13,46,200.26
AL,Rating Area 13,47,205.84
AL,Rating Area 13,48,212.22
AL,Rating Area 13,49,218.51
AL,Rating Area 13,50,225.60
AL,Rating Area 13,51,232.60
AL,Rating Area 13,52,240.31
AL,Rating Area 13,53,248.11
AL,Rating Area 13,54,256.52
AL,Rating Area 13,55,265.31
AL,Rating Area 13,56,274.44
AL,Rating Area 13,57,283.52
AL,Rating Area 13,58,291.98
AL,Rating Area 13,59,295.74
AL,Rating Area 13,60,303.34
AL,Rating Area 13,61,309.90
AL,Rating Area 13,62,314.10
AL,Rating Area 13,63,318.88
AL,Rating Area 13,64,321.53
AL,Rating Area 13,65,322.31
AL,Rating Area 2,20,67.60
AL,Rating Area 2,21,160.23
AL,Rating Area 2,22,160.23
AL,Rating Area 2,23,160.23
AL,Rating Area 2,24,160.23
AL,Rating Area 2,25,160.61
AL,Rating Area 2,26,162.73
AL,Rating Area 2,27,164.98
AL,Rating Area 2,28,168.62
AL,Rating Area 2,29,171.61
AL,Rating Area 2,30,173.11
AL,Rating Area 2,31,175.35
AL,Rating Area 2,32,177.60
AL,Rating Area 2,33,179.00
AL,Rating Area 2,34,180.50
AL,Rating Area 2,35,181.24
AL,Rating Area 2,36,181.99
AL,Rating Area 2,37,182.74
AL,Rating Area 2,38,183.49
AL,Rating Area 2,39,184.98
AL,Rating Area 2,40,186.48
AL,Rating Area 2,41,188.72
AL,Rating Area 2,42,190.87
AL,Rating Area 2,43,193.86
AL,Rating Area 2,44,197.60
AL,Rating Area 2,45,201.99
AL,Rating Area 2,46,207.23
AL,Rating Area 2,47,213.12
AL,Rating Area 2,48,219.85
AL,Rating Area 2,49,226.49
AL,Rating Area 2,50,233.96
AL,Rating Area 2,51,241.35
AL,Rating Area 2,52,249.48
AL,Rating Area 2,53,257.71
AL,Rating Area 2,54,266.59
AL,Rating Area 2,55,275.84
AL,Rating Area 2,56,285.17
AL,Rating Area 2,57,293.22
AL,Rating Area 2,58,301.22
AL,Rating Area 2,59,305.19
AL,Rating Area 2,60,313.13
AL,Rating Area 2,61,319.24
AL,Rating Area 2,62,322.78
AL,Rating Area 2,63,326.97
AL,Rating Area 2,64,329.30
AL,Rating Area 2,65,330.08
AL,Rating Area 3,20,70.37
AL,Rating Area 3,21,164.78
AL,Rating Area 3,22,164.78
AL,Rating Area 3,23,164.78
AL,Rating Area 3,24,164.78
AL,Rating Area 3,25,165.17
AL,Rating Area 3,26,167.36
AL,Rating Area 3,27,169.71
AL,Rating Area 3,28,173.51
AL,Rating Area 3,29,176.62
AL,Rating Area 3,30,178.18
AL,Rating Area 3,31,180.52
AL,Rating Area 3,32,182.85
AL,Rating Area 3,33,184.31
AL,Rating Area 3,34,185.87
AL,Rating Area 3,35,186.65
AL,Rating Area 3,36,187.43
AL,Rating Area 3,37,188.21
AL,Rating Area 3,38,188.99
AL,Rating Area 3,39,190.54
AL,Rating Area 3,40,192.10
AL,Rating Area 3,41,194.44
AL,Rating Area 3,42,196.68
AL,Rating Area 3,43,199.80
AL,Rating Area 3,44,203.69
AL,Rating Area 3,45,208.27
AL,Rating Area 3,46,213.72
AL,Rating Area 3,47,219.85
AL,Rating Area 3,48,226.86
AL,Rating Area 3,49,233.78
AL,Rating Area 3,50,241.57
AL,Rating Area 3,51,249.26
AL,Rating Area 3,52,257.73
AL,Rating Area 3,53,266.30
AL,Rating Area 3,54,275.55
AL,Rating Area 3,55,284.97
AL,Rating Area 3,56,293.37
